zip_code,sector,year,quarter,co2_emissions_no_solar_tons,co2_emissions_with_solar_tons,electricity_cost_no_solar_usd,electricity_cost_with_solar_usd
91932,r,2028,3,32807.59,34511.7,296116.24,92362.3
91932,r,2028,4,29287.13,31421.04,330167.77,96114.77
91934,c,2026,1,0,0,0,0
91934,c,2026,2,0,0,0,0
91934,c,2026,3,0,0,0,0
91934,c,2026,4,0,0,0,0
91934,c,2027,1,0,0,0,0
91934,c,2027,2,0,0,0,0
91934,c,2027,3,0,0,0,0
91934,c,2027,4,0,0,0,0
91934,c,2028,1,0,0,0,0
91934,c,2028,2,0,0,0,0
91934,c,2028,3,0,0,0,0
91934,c,2028,4,0,0,0,0
91934,r,2026,1,0,0,0,0
91934,r,2026,2,0,0,0,0
91934,r,2026,3,0,0,0,0
91934,r,2026,4,0,0,0,0
91934,r,2027,1,0,0,0,0
91934,r,2027,2,0,0,0,0
91934,r,2027,3,0,0,0,0
91934,r,2027,4,0,0,0,0
91934,r,2028,1,0,0,0,0
91934,r,2028,2,0,0,0,0
91934,r,2028,3,0,0,0,0
91934,r,2028,4,0,0,0,0
91935,c,2026,1,0,0,0,0
91935,c,2026,2,0,0,0,0
91935,c,2026,3,0,0,0,0
91935,c,2026,4,0,0,0,0
91935,c,2027,1,0,0,0,0
91935,c,2027,2,0,0,0,0
91935,c,2027,3,0,0,0,0
91935,c,2027,4,0,0,0,0
91935,c,2028,1,0,0,0,0
91935,c,2028,2,0,0,0,0
91935,c,2028,3,0,0,0,0
91935,c,2028,4,0,0,0,0
91935,r,2026,1,22095.97,21467.44,192867.62,53262.29
91935,r,2026,2,3988.21,4630.45,44199.89,12820.71
91935,r,2026,3,11756.78,11342.91,98368.01,32384.77
91935,r,2026,4,11637.72,11516.33,110520.95,33152.84
91935,r,2027,1,21497.23,22103.55,177540.97,63885.16
91935,r,2027,2,4636.94,4509.6,42735.7,13080.03
91935,r,2027,3,11356.73,10347.36,107949.23,32110.62
91935,r,2027,4,11528.15,11544.24,110509.46,33656.23
91935,r,2028,1,22134.23,20347.05,212950.53,57803.43
91935,r,2028,2,4515.93,4360.22,43600.11,12635.24
91935,r,2028,3,10359.96,11355.21,107035.41,32097.89
91935,r,2028,4,11556.09,11543.04,112187.44,32154.44
91941,c,2026,1,0,0,0,0
91941,c,2026,2,0,0,0,0
91941,c,2026,3,0,0,0,0
91941,c,2026,4,0,0,0,0
91941,c,2027,1,0,0,0,0
91941,c,2027,2,0,0,0,0
91941,c,2027,3,0,0,0,0
91941,c,2027,4,0,0,0,0
91941,c,2028,1,0,0,0,0
91941,c,2028,2,0,0,0,0
91941,c,2028,3,0,0,0,0
91941,c,2028,4,0,0,0,0
91941,r,2026,1,42710.22,41232.22,360252.31,115782.41
91941,r,2026,2,22031.28,19254.81,218677.46,63290.86
91941,r,2026,3,46678.98,42347.65,420631.97,127605.93
91941,r,2026,4,32193.82,36836.23,355272.87,94651.07
91941,r,2027,1,41278.5,40324.8,385941.37,107127.39
91941,r,2027,2,19270.1,21860.38,210969.55,65825.99
91941,r,2027,3,42391.53,43799.77,425353.1,131409.36
91941,r,2027,4,36869.95,36814.68,315503.56,102309.49
91941,r,2028,1,40370.06,43200.3,357091.3,102234.28
91941,r,2028,2,21877.73,21089.84,219419.96,62110.1
91941,r,2028,3,43845.15,44291.37,438031.18,121373.36
91941,r,2028,4,36848.38,32693.64,341031.63,109589.77
91942,c,2026,1,120739.86,115938.43,774318.84,254902.1
91942,c,2026,2,118686.44,116838.89,906921.88,255219.82
91942,c,2026,3,176321.83,170404.6,1555448.62,488204.8
91942,c,2026,4,118443.92,115264.2,899133.63,276004.63
91942,c,2027,1,116087.89,109617.81,849673.67,264754.83
91942,c,2027,2,116990.89,124473.83,850732.75,282286.36
91942,c,2027,3,170595.26,175550.23,1627349.34,441338.86
91942,c,2027,4,115411.23,119235.13,920015.45,267967.61
91942,c,2028,1,109759.13,120285.55,882516.11,241465.1
91942,c,2028,2,124635.76,116761.94,940954.52,276574.08
91942,c,2028,3,175746.65,183665.05,1471129.53,468647.19
91942,c,2028,4,119387.22,122004.29,893225.37,285916.25
91942,r,2026,1,48932.54,46970.07,459298.03,140309.47
91942,r,2026,2,41076.29,49703.57,432059.21,151919.9
91942,r,2026,3,80865.18,82254.75,771625.7,229882.28
91942,r,2026,4,62325.09,60863.47,586888.28,175320.53
91942,r,2027,1,47008.78,50017.17,467698.22,138940.69
91942,r,2027,2,49744.8,43020.89,506399.65,129968.48
91942,r,2027,3,82324.1,80202.52,766274.27,222582.22
91942,r,2027,4,60917.54,60693.11,584401.77,194629.23
91942,r,2028,1,50058.39,50931.94,463135.64,133305.33
91942,r,2028,2,43056.58,50423.1,433228.26,132814.98
91942,r,2028,3,80270.14,79646.29,741940.74,227237.61
91942,r,2028,4,60747.03,60435.97,648764.1,175598.81
91945,c,2026,1,87259.86,82794.61,656167.61,188804.83
91945,c,2026,2,95739.83,87502.72,660263.12,195602.9
91945,c,2026,3,96049.02,101227.75,784450.82,265726.58
91945,c,2026,4,97627.81,91730.24,672217.1,201564.62
91945,c,2027,1,82878.06,94917.76,629349.43,199593.28
91945,c,2027,2,87589.82,91121.28,652009.67,189174.86
91945,c,2027,3,101340.37,88615.36,885755.26,244600.65
91945,c,2027,4,91820.55,89907.58,671882.08,183442.9
91945,c,2028,1,95013.43,91038.38,665310.94,183350.78
91945,c,2028,2,91211.98,89982.24,630582.88,196988.44
91945,c,2028,3,88713.95,100059.2,815335.51,230543.3
91945,c,2028,4,89996.09,89862.78,611476.33,209336.37
91945,r,2026,1,96961.51,90895.75,853066.15,273560.9
91945,r,2026,2,66557.06,68495.85,695335.68,215101.03
91945,r,2026,3,114666.73,111180.67,1122200.94,310211.53
91945,r,2026,4,90368.24,97467.69,940343.7,281818.34
91945,r,2027,1,90990.52,94273.1,911869.66,273796.01
91945,r,2027,2,68563.62,70100.82,717003.45,199194.76
91945,r,2027,3,111287.75,117228.69,1034038.44,332952.3
91945,r,2027,4,97565.64,97971.25,939394.47,257187.38
91945,r,2028,1,94371.39,100771.53,912653.36,255482.96
91945,r,2028,2,70170.18,72285.27,663982.53,207638.26
91945,r,2028,3,117341.6,108018.96,1109840.99,337609.47
91945,r,2028,4,98069.71,97872.36,857291.28,279666.85
91948,c,2026,1,0,0,0,0
91948,c,2026,2,0,0,0,0
91948,c,2026,3,0,0,0,0
91948,c,2026,4,0,0,0,0
91948,c,2027,1,0,0,0,0
91948,c,2027,2,0,0,0,0
91948,c,2027,3,0,0,0,0
91948,c,2027,4,0,0,0,0
91948,c,2028,1,0,0,0,0
91948,c,2028,2,0,0,0,0
